1,1,2,2,3,3,total,total
value,count,value,count,value,count,value,count
0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0
3,0,3,0,3,0,3,0
4,0,4,0,4,0,4,0
5,0,5,0,5,0,5,0
6,0,6,0,6,0,6,0
7,0,7,0,7,0,7,0
8,0,8,0,8,0,8,0
9,0,9,0,9,0,9,0
10,0,10,0,10,0,10,0
11,0,11,0,11,0,11,0
12,0,12,0,12,0,12,0
13,0,13,0,13,0,13,0
14,0,14,0,14,0,14,0
15,0,15,0,15,0,15,0
16,0,16,0,16,0,16,0
17,0,17,0,17,0,17,0
18,0,18,0,18,0,18,0
19,0,19,0,19,0,19,0
20,0,20,0,20,0,20,0
21,0,21,0,21,0,21,0
22,0,22,0,22,0,22,0
23,0,23,0,23,0,23,0
24,0,24,0,24,0,24,0
25,0,25,0,25,0,25,0
26,0,26,0,26,0,26,0
27,0,27,0,27,0,27,0
28,0,28,0,28,0,28,0
29,0,29,0,29,0,29,0
30,0,30,0,30,0,30,0
31,0,31,0,31,0,31,0
32,0,32,0,32,0,32,0
33,0,33,0,33,0,33,0
34,0,34,0,34,0,34,0
35,0,35,0,35,0,35,0
36,0,36,0,36,0,36,0
37,0,37,0,37,0,37,0
38,0,38,0,38,0,38,0
39,1,39,0,39,0,39,1
40,1,40,0,40,0,40,1
41,1,41,0,41,0,41,1
42,1,42,0,42,0,42,1
43,0,43,0,43,0,43,0
44,1,44,0,44,0,44,1
45,3,45,0,45,0,45,3
46,0,46,0,46,0,46,0
47,2,47,0,47,0,47,2
48,1,48,0,48,0,48,1
49,2,49,0,49,0,49,2
50,1,50,0,50,0,50,1
51,4,51,1,51,0,51,5
52,2,52,1,52,0,52,3
53,2,53,3,53,0,53,5
54,3,54,0,54,1,54,4
55,1,55,5,55,0,55,6
56,6,56,2,56,2,56,10
57,2,57,4,57,0,57,6
58,6,58,5,58,5,58,16
59,9,59,3,59,3,59,15
60,4,60,2,60,4,60,10
61,10,61,8,61,5,61,23
62,11,62,11,62,9,62,31
63,10,63,8,63,9,63,27
64,27,64,14,64,7,64,48
65,24,65,9,65,15,65,48
66,44,66,13,66,9,66,66
67,46,67,12,67,13,67,71
68,61,68,6,68,17,68,84
69,103,69,8,69,24,69,135
70,144,70,16,70,34,70,194
71,145,71,16,71,40,71,201
72,266,72,18,72,47,72,331
73,400,73,11,73,76,73,487
74,624,74,34,74,85,74,743
75,922,75,34,75,130,75,1086
76,1406,76,63,76,184,76,1653
77,2179,77,84,77,272,77,2535
78,3326,78,77,78,415,78,3818
79,4982,79,186,79,654,79,5822
80,7418,80,235,80,959,80,8612
81,10864,81,363,81,1568,81,12795
82,15562,82,636,82,2265,82,18463
83,21667,83,998,83,3800,83,26465
84,29758,84,1856,84,5932,84,37546
85,39567,85,2915,85,8932,85,51414
86,52146,86,4735,86,13124,86,70005
87,65356,87,7456,87,19116,87,91928
88,82352,88,11313,88,26863,88,120528
89,100235,89,16491,89,36754,89,153480
90,119539,90,23721,90,49693,90,192953
91,141507,91,33316,91,65789,91,240612
92,162552,92,45674,92,84965,92,293191
93,183538,93,60806,93,108867,93,353211
94,204785,94,79410,94,135346,94,419541
95,224040,95,101505,95,163464,95,489009
96,239170,96,125798,96,193656,96,558624
97,249916,97,151539,97,223391,97,624846
98,251770,98,177893,98,249801,98,679464
99,248518,99,201919,99,268016,99,718453
100,236450,100,222691,100,278095,100,737236
101,218116,101,237491,101,275556,101,731163
102,194298,102,245933,102,263844,102,704075
103,169673,103,248351,103,245947,103,663971
104,143889,104,245197,104,221087,104,610173
105,119203,105,234927,105,194118,105,548248
106,96828,106,222495,106,166807,106,486130
107,77794,107,204837,107,139252,107,421883
108,61467,108,184772,108,115162,108,361401
109,47247,109,162721,109,92982,109,302950
110,35705,110,141677,110,73956,110,251338
111,27015,111,119891,111,57305,111,204211
112,20125,112,99586,112,44250,112,163961
113,14909,113,80785,113,33563,113,129257
114,10752,114,63874,114,25256,114,99882
115,8015,115,49665,115,18560,115,76240
116,5963,116,38018,116,14235,116,58216
117,4319,117,28567,117,10299,117,43185
118,3470,118,21206,118,7999,118,32675
119,2794,119,15845,119,6382,119,25021
120,2352,120,11897,120,4959,120,19208
121,1936,121,8974,121,4061,121,14971
122,1777,122,7177,122,3306,122,12260
123,1514,123,5541,123,2850,123,9905
124,1389,124,4628,124,2486,124,8503
125,1219,125,3789,125,2160,125,7168
126,1130,126,3231,126,1894,126,6255
127,1074,127,2834,127,1700,127,5608
128,962,128,2488,128,1609,128,5059
129,930,129,2155,129,1507,129,4592
130,844,130,1986,130,1362,130,4192
131,770,131,1725,131,1282,131,3777
132,766,132,1599,132,1133,132,3498
133,675,133,1519,133,1099,133,3293
134,687,134,1369,134,1009,134,3065
135,595,135,1213,135,972,135,2780
136,564,136,1103,136,891,136,2558
137,584,137,1057,137,885,137,2526
138,580,138,1004,138,807,138,2391
139,566,139,955,139,738,139,2259
140,564,140,871,140,727,140,2162
141,501,141,849,141,707,141,2057
142,498,142,793,142,658,142,1949
143,481,143,745,143,646,143,1872
144,507,144,729,144,571,144,1807
145,457,145,639,145,598,145,1694
146,441,146,572,146,561,146,1574
147,444,147,566,147,567,147,1577
148,439,148,509,148,535,148,1483
149,433,149,498,149,507,149,1438
150,402,150,465,150,467,150,1334
151,377,151,508,151,442,151,1327
152,406,152,443,152,433,152,1282
153,314,153,441,153,418,153,1173
154,352,154,412,154,352,154,1116
155,362,155,375,155,355,155,1092
